short,long
EcNA114,E. coli NA114
EcJJ1886,E. coli JJ1886
EcCloneDi2,E. coli Di14
EcCloneDi1,E. coli Di2
Fpsych,F. psychrophilum
Fjohn,F. johnsoniae
Fbranch,F. branchiophilum
Findic,F. indicum
Fcolum,F. columnare
Naup,B. sp. N. cinerea
Germ,B. sp. B. germanica
Amer,B. sp. P. americana
Orien,B. sp. B. orientalis
Madar,B. sp. M. darwiniensis
Crypt,B. sp. C. punctulatus
Giga,B. sp. B. giganteus
Pane,B. sp. P. angustipennis
EcSe11,E. coli SE11
EcCFT073,E. coli CTF073
EcUMNK88,E. coli UMNK88
EcUM146,E. coli UM146
